timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685031862773,3,Home,404,Not Found,Thread Group 1-1,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,4,4,http://localhost:8080/%20/jpetstore,3,0,1
1685031863135,3,Home,404,Not Found,Thread Group 1-2,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,5,5,http://localhost:8080/%20/jpetstore,3,0,1
1685031863591,3,Home,404,Not Found,Thread Group 1-3,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,6,6,http://localhost:8080/%20/jpetstore,3,0,1
1685031863958,3,Home,404,Not Found,Thread Group 1-4,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,7,7,http://localhost:8080/%20/jpetstore,3,0,1
1685031864310,4,Main Catalog,200,OK,Thread Group 1-1,text,true,,6017,399,8,8,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031864395,2,Home,404,Not Found,Thread Group 1-5,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,8,8,http://localhost:8080/%20/jpetstore,2,0,1
1685031864728,3,Main Catalog,200,OK,Thread Group 1-2,text,true,,6017,399,9,9,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031864768,2,Home,404,Not Found,Thread Group 1-6,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,9,9,http://localhost:8080/%20/jpetstore,2,0,1
1685031865152,3,Home,404,Not Found,Thread Group 1-7,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,10,10,http://localhost:8080/%20/jpetstore,3,0,1
1685031865154,4,Main Catalog,200,OK,Thread Group 1-3,text,true,,6017,399,10,10,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031865467,4,Main Catalog,200,OK,Thread Group 1-4,text,true,,6017,399,11,11,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031865520,2,Home,404,Not Found,Thread Group 1-8,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,11,11,http://localhost:8080/%20/jpetstore,2,0,0
1685031865840,5,Sign In,200,OK,Thread Group 1-1,text,true,,3923,639,12,12,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,5,0,0
1685031865961,4,Main Catalog,200,OK,Thread Group 1-5,text,true,,6017,399,12,12,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031865976,2,Home,404,Not Found,Thread Group 1-9,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,12,12,http://localhost:8080/%20/jpetstore,2,0,1
1685031866278,6,Sign In,200,OK,Thread Group 1-2,text,true,,3925,639,13,13,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,6,0,0
1685031866290,4,Main Catalog,200,OK,Thread Group 1-6,text,true,,6017,399,13,13,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031866350,3,Home,404,Not Found,Thread Group 1-10,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,13,13,http://localhost:8080/%20/jpetstore,3,0,1
1685031866681,6,Sign In,200,OK,Thread Group 1-3,text,true,,3921,639,14,14,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,5,0,0
1685031866693,4,Main Catalog,200,OK,Thread Group 1-7,text,true,,6017,399,14,14,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031866733,2,Home,404,Not Found,Thread Group 1-11,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,14,14,http://localhost:8080/%20/jpetstore,2,0,1
1685031866993,5,Sign In,200,OK,Thread Group 1-4,text,true,,3921,639,15,15,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,5,0,0
1685031867074,4,Main Catalog,200,OK,Thread Group 1-8,text,true,,6017,399,15,15,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031867169,2,Home,404,Not Found,Thread Group 1-12,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,15,15,http://localhost:8080/%20/jpetstore,2,0,1
1685031867473,5,Sign In,200,OK,Thread Group 1-5,text,true,,3923,639,16,16,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,5,0,0
1685031867519,4,Main Catalog,200,OK,Thread Group 1-9,text,true,,6017,399,16,16,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031867542,1,Home,404,Not Found,Thread Group 1-13,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,16,16,http://localhost:8080/%20/jpetstore,1,0,1
1685031867850,4,Sign In,200,OK,Thread Group 1-6,text,true,,3923,639,17,17,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,4,0,0
1685031867948,3,Main Catalog,200,OK,Thread Group 1-10,text,true,,6017,399,17,17,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031867984,3,Home,404,Not Found,Thread Group 1-14,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,17,17,http://localhost:8080/%20/jpetstore,3,0,1
1685031868209,3,Sign In,200,OK,Thread Group 1-7,text,true,,3925,639,18,18,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,3,0,0
1685031868290,4,Main Catalog,200,OK,Thread Group 1-11,text,true,,6017,399,18,18,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031868328,2,Home,404,Not Found,Thread Group 1-15,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,18,18,http://localhost:8080/%20/jpetstore,2,0,1
1685031868645,5,Sign In,200,OK,Thread Group 1-8,text,true,,3925,639,19,19,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,5,0,0
1685031868698,4,Main Catalog,200,OK,Thread Group 1-12,text,true,,6017,399,19,19,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031868704,2,Home,404,Not Found,Thread Group 1-16,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,19,19,http://localhost:8080/%20/jpetstore,2,0,1
1685031869062,4,Main Catalog,200,OK,Thread Group 1-13,text,true,,6017,399,20,20,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031869096,5,Sign In,200,OK,Thread Group 1-9,text,true,,3923,639,20,20,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,5,0,0
1685031869122,3,Home,404,Not Found,Thread Group 1-17,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,20,20,http://localhost:8080/%20/jpetstore,3,0,1
1685031869448,3,Login,200,OK,Thread Group 1-1,text,true,,5262,1693,21,21,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031869448,1,Login-0,302,Found,Thread Group 1-1,,true,,193,974,21,21,http://localhost:8080/jpetstore/actions/Account.action,1,0,0
1685031869450,1,Login-1,200,OK,Thread Group 1-1,text,true,,5069,719,21,21,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031869503,1,Main Catalog,200,OK,Thread Group 1-14,text,true,,6017,399,21,21,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685031869524,2,Sign In,200,OK,Thread Group 1-10,text,true,,3921,639,21,21,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,2,0,0
1685031869550,1,Home,404,Not Found,Thread Group 1-18,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,21,21,http://localhost:8080/%20/jpetstore,1,0,1
1685031869860,4,Sign In,200,OK,Thread Group 1-11,text,true,,3921,639,22,22,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=mwR7Dz9sAehuThV0CCChut0Lc03ksmEu-3Vi8BIJ.eu-lenovo-yoga-720-13ikb?signonForm=,4,0,0
1685031869901,4,Main Catalog,200,OK,Thread Group 1-15,text,true,,6017,399,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031869941,8,Login,200,OK,Thread Group 1-2,text,true,,5262,1693,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1685031869941,4,Login-0,302,Found,Thread Group 1-2,,true,,193,974,22,22,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1685031869945,4,Login-1,200,OK,Thread Group 1-2,text,true,,5069,719,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685031869962,2,Home,404,Not Found,Thread Group 1-19,text,false,Test failed: text expected to contain /Welcome to JPetStore 6/,206,130,22,22,http://localhost:8080/%20/jpetstore,2,0,1
